date,home_team,away_team,competition,neutral,home_confederation,away_confederation,home_fifa_rank,away_fifa_rank,tournament_stage,home_form_last5,away_form_last5,home_goals_for_last5,away_goals_for_last5,home_goals_against_last5,away_goals_against_last5,home_rest_days,away_rest_days,home_elo_pre,away_elo_pre,elo_diff_home_away,elo_win_prob,form_diff_home_away,goal_balance_diff,rank_diff,competition_weight,is_same_confederation,home_score,away_score,target,match_weight
2010-01-21,Gabon,Zambia,African Cup of Nations,1,CAF,CAF,75,87,Unknown,2.3333333333333335,1.3333333333333333,1.0,2.3333333333333335,0.0,2.0,4,4,1546.3470371461967,1506.3137428296443,40.03329431655243,0.557358918093199,1.0000000000000002,0.6666666666666665,-12,2,1,1,2,A,0.003645
2010-01-22,Latvia,Korea Republic,International Friendly,1,UEFA,AFC,75,26,Unknown,1.5,1.5,1.0,2.0,1.0,2.0,7,4,1500.0,1502.5839895213328,-2.5839895213327964,0.4962814087176203,0.0,0.0,49,1,0,0,1,A,0.003648
2010-01-23,Poland,Singapore,King's Cup,1,UEFA,AFC,24,75,Unknown,3.0,0.0,3.0,0.5,1.0,2.0,3,6,1538.972266206873,1450.4239147540195,88.54835145285347,0.6247420726896378,3.0,3.5,-51,2,0,6,1,H,0.003652
2010-01-23,Syria,Sweden,International Friendly,0,AFC,UEFA,75,53,Unknown,2.0,3.0,3.0,1.0,0.0,0.0,17,3,1545.7800738771457,1526.9309266171203,18.849147260025347,0.6646644572336574,-1.0,2.0,22,1,0,1,1,D,0.003652
2010-01-23,United States,Honduras,International Friendly,0,CONCACAF,CONCACAF,13,49,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,-36,1,1,1,3,A,0.003652
2010-01-24,Angola,Ghana,African Cup of Nations,0,CAF,CAF,75,43,Unknown,1.5,1.3333333333333333,1.75,0.6666666666666666,1.25,1.0,6,5,1511.3545976891235,1495.967286597158,15.387311091965557,0.6602083331163265,0.16666666666666674,0.8333333333333334,32,2,1,0,1,A,0.003655
2010-01-24,Côte d'Ivoire,Algeria,African Cup of Nations,1,CAF,CAF,33,44,Unknown,2.5,1.3333333333333333,1.5,0.3333333333333333,0.25,1.0,9,6,1576.0290846484982,1493.7882023211241,82.24088232737404,0.6161920942378646,1.1666666666666667,1.9166666666666667,-11,2,1,2,3,A,0.003655
2010-01-25,Zambia,Nigeria,African Cup of Nations,1,CAF,CAF,87,35,Unknown,1.75,2.0,2.25,1.6666666666666667,1.75,1.0,4,5,1528.6080995533723,1524.538372415002,4.069727138370354,0.505856540297001,-0.25,-0.16666666666666674,52,2,1,0,0,D,0.003659
2010-01-25,Egypt,Cameroon,African Cup of Nations,1,CAF,CAF,42,47,Unknown,3.0,1.75,2.0,2.0,0.25,1.5,5,4,1595.110930177464,1535.1961410159042,59.91478916155984,0.5853796310895274,1.25,1.25,-5,2,1,3,1,H,0.003659
2010-01-26,Argentina,Costa Rica,International Friendly,0,CONMEBOL,CONCACAF,1,50,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,-49,1,0,3,2,H,0.003662
2010-01-27,South Africa,Zimbabwe,International Friendly,0,CAF,CAF,41,79,Unknown,1.5,0.0,1.0,0.0,1.0,6.0,7,25,1500.0,1457.5,42.5,0.6942991562129146,1.5,6.0,-38,1,1,3,0,H,0.003665
2010-01-28,Algeria,Egypt,African Cup of Nations,1,CAF,CAF,44,42,Unknown,1.75,3.0,1.0,2.2,1.25,0.4,4,3,1518.4358860906386,1619.9881523120923,-101.55226622145369,0.35787899611757396,-1.25,-2.0500000000000003,2,2,1,0,4,A,0.003669
2010-01-28,Ghana,Nigeria,African Cup of Nations,1,CAF,CAF,43,35,Unknown,1.75,1.75,0.75,1.25,0.75,0.75,4,3,1522.375619921811,1524.772634026882,-2.3970141050710936,0.4965504741392216,0.0,-0.5,8,2,1,1,0,H,0.003669
2010-01-30,Nigeria,Algeria,African Cup of Nations,1,CAF,CAF,35,44,Unknown,1.4,1.4,1.0,0.8,0.8,1.8,2,2,1504.634652992451,1491.5949613818207,13.03969161063037,0.5187568186085261,0.0,1.2,-9,2,1,1,0,H,0.003676
2010-01-31,Ghana,Egypt,African Cup of Nations,1,CAF,CAF,43,42,Unknown,2.0,3.0,0.8,2.8,0.6,0.4,3,3,1542.513600956242,1646.8290770209103,-104.31547606466825,0.3542320206009486,-1.0,-2.1999999999999997,1,2,1,0,1,A,0.003679
2010-01-31,Jamaica,Canada,International Friendly,0,CONCACAF,CONCACAF,60,28,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,32,1,1,1,0,H,0.003679
2010-02-02,Japan,Venezuela,International Friendly,0,AFC,CONMEBOL,15,36,Unknown,3.0,1.5,3.0,1.0,2.0,1.0,27,7,1524.2183798401136,1500.0,24.218379840113585,0.6715179326959558,1.5,1.0,-21,1,0,0,0,D,0.003686
